"","title.info","date","briefs","story.link"
"1191","Meeting with Prime Minister of Canada Stephen Harper",2012-09-08,"Vladimir Putin met with Prime Minister of Canada Stephen Harper on the sidelines of the APEC summit.","http://eng.kremlin.ru/news/4374"
"1192","Meeting with President of South Korea Lee Myung-bak",2012-09-08,"Vladimir Putin met with President of South Korea Lee Myung-bak on the sidelines of the APEC summit.","http://eng.kremlin.ru/news/4373"
"1193","Meeting with President of Peru Ollanta Humala",2012-09-08,"Vladimir Putin met with President of the Republic of Peru Ollanta Humala Tasso on the sidelines of the APEC summit.","http://eng.kremlin.ru/news/4372"
"1194","Answers to questions of APEC Economic Leaders’ Meeting participants",2012-09-07,NA,"http://eng.kremlin.ru/transcripts/4380"
"1195","Vladimir Putin took part in the APEC business summit plenary session",2012-09-07,"The President addressed the APEC business summit plenary session.","http://eng.kremlin.ru/news/4371"
"1196","Meeting with Sultan of Brunei Darussalam Hassanal Bolkiah",2012-09-07,"The two leaders discussed bilateral cooperation, in particular in the energy and military-technical sectors.","http://eng.kremlin.ru/news/4370"
"1197","Meeting with President of China Hu Jintao",2012-09-07,"Vladimir Putin met with Hu Jintao on the sidelines of the APEC summit to discuss developing bilateral relations and issues on the international agenda.","http://eng.kremlin.ru/news/4369"
"1198","Working trip to Primorye. APEC Leaders' Week",2012-09-06,"During the trip to the Primorye Territory, Vladimir Putin visited a number of urban infrastructure facilities built for the APEC forum, in particular the new terminal and airport refuelling complex at the Vladivostok Knevichi International Airport. The President also took part in laying the first stone of Rosneft Eastern Petrochemical Plant and opened a Mazda car assembly line in Vladivostok. At the APEC forum, Vladimir Putin took part in APEC Leaders’ Week working sessions, in the plenary session of the APEC CEO Summit and met with members of the Business Advisory Council. The Russian President held a series of bilateral meetings on the sidelines of the summit. Following the APEC summit, Vladimir Putin met with the heads of the Far East Federal District and the Far East Federal University, and presented the university with the symbolic key to the new campus.","http://eng.kremlin.ru/trips/4387"
"1199","Interview to Russia Today TV Channel",2012-09-06,"In the run-up to the APEC Forum, Vladimir Putin gave an interview to Russia Today TV Channel.","http://eng.kremlin.ru/news/4367"
"1200","Vladimir Putin will meet with Prime Minister of Moldova Vladimir Filat",2012-09-05,"Vladimir Putin will meet with Prime Minister of the Republic of Moldova Vladimir Filat, who will be in Russia on a working visit, on September 12, 2012 in Sochi.","http://eng.kremlin.ru/news/4364"
"1201","Vladimir Putin will meet with President of Serbia Tomislav Nikolic",2012-09-04,"On September 11, 2012, in Sochi, Vladimir Putin will meet with the President of the Republic of Serbia Tomislav Nikolic, who will be in Russia on a working visit at the invitation of the Russian President.","http://eng.kremlin.ru/news/4359"
"1202","Congratulations to President of Vietnam Truong Tan Sang",2012-09-02,"Vladimir Putin congratulated President of the Socialist Republic of Vietnam Truong Tan Sang on Vietnam’s national holiday, the 67th anniversary of independence.","http://eng.kremlin.ru/news/4350"
"1203","Congratulations to President of Kyrgyzstan",2012-08-31,"Vladimir Putin congratulated President of Kyrgyzstan Almazbek Atambayev on Independence Day, Kyrgyzstan’s national holiday.","http://eng.kremlin.ru/news/4342"
"1204","Vladimir Putin sent a message to participants of the XVI Non-Aligned Movement summit",2012-08-30,NA,"http://eng.kremlin.ru/news/4338"
"1205","Telephone conversation with President of Kazakhstan Nursultan Nazarbayev",2012-08-29,"Vladimir Putin had a telephone conversation with President of Kazakhstan Nursultan Nazarbayev.","http://eng.kremlin.ru/news/4336"
"1206","Agreement on the foundations of relations between Russia and El Salvador has been submitted to the State Duma for ratification",2012-08-27,"Vladimir Putin submitted to the State Duma for ratification the Agreement on the Foundations of Relations between the Russian Federation and the Republic of El Salvador, signed in San Salvador on August 22, 2011.","http://eng.kremlin.ru/news/4330"
"1207","Condolences to President of Venezuela Hugo Chavez",2012-08-26,NA,"http://eng.kremlin.ru/news/4329"
"1208","Meeting with President of Ukraine Viktor Yanukovych",2012-08-25,"Vladimir Putin met with President of Ukraine Viktor Yanukovych, who is in Russia on a working visit.","http://eng.kremlin.ru/news/4328"
"1209","Vladimir Putin will meet with President of Ukraine Viktor Yanukovych",2012-08-25,"The two presidents will meet in Sochi on August 25. Mr Yanukovych will be coming to Russia on a working visit.","http://eng.kremlin.ru/news/4325"
"1210","Vladimir Putin sent a telegram to President of the Republic of Namibia Hifikepunye Pohamba",2012-08-20,NA,"http://eng.kremlin.ru/news/4304"
"1211","Meeting with permanent members of the Security Council",2012-08-17,"Vladimir Putin held a meeting with permanent members of Russia’s Security Council. The meeting discussed topical domestic and foreign policy issues.","http://eng.kremlin.ru/news/4300"
"1212","Condolences to President of the Philippines Benigno Aquino",2012-08-10,NA,"http://eng.kremlin.ru/news/4285"
"1213","Meeting with permanent members of the Security Council",2012-08-10,"Vladimir Putin held a meeting with permanent members of the Security Council.","http://eng.kremlin.ru/news/4284"
"1214","Executive order on presidential special representative for Afghanistan",2012-08-10,NA,"http://eng.kremlin.ru/news/4282"
"1215","Press statements and answers to journalists’ questions following a meeting with President of Armenia Serzh Sargsyan",2012-08-08,NA,"http://eng.kremlin.ru/transcripts/4274"
"1216","Telephone conversation with President of Kyrgyzstan Almazbek Atambayev",2012-08-08,NA,"http://eng.kremlin.ru/news/4271"
"1217","Telephone conversation with President of Belarus Alexander Lukashenko",2012-08-08,NA,"http://eng.kremlin.ru/news/4272"
"1218","Meeting with President of Armenia Serzh Sargsyan",2012-08-08,"Vladimir Putin held talks with President of Armenia Serzh Sargsyan, who is in Russia on a working visit.","http://eng.kremlin.ru/news/4273"
"1219","Telephone conversation with President of Cyprus Demetris Christofias",2012-08-06,NA,"http://eng.kremlin.ru/news/4266"
"1220","Composition of Russia’s delegation to the Council of Europe’s Congress of Local and Regional Authorities approved",2012-08-03,NA,"http://eng.kremlin.ru/news/4260"
"1221","Answers to journalists’ questions following visit to United Kingdom",2012-08-02,NA,"http://eng.kremlin.ru/transcripts/4255"
"1222","Vladimir Putin signed a number of executive orders appointing special presidential representatives",2012-08-02,NA,"http://eng.kremlin.ru/news/4263"
"1223","Meeting with Prime Minister of the United Kingdom David Cameron",2012-08-02,"During his visit to the United Kingdom, Vladimir Putin held talks with Prime Minister David Cameron.","http://eng.kremlin.ru/news/4253"
"1224","Vladimir Putin will meet with President of Armenia Serzh Sargsyan",2012-08-02,"On August 8 in Moscow, Vladimir Putin will meet with President of Armenia Serzh Sargsyan, who will be in Russia on a working visit.","http://eng.kremlin.ru/news/4251"
"1225","Amendments to Articles of Agreement of the International Monetary Fund approved",2012-07-31,"Vladimir Putin signed Federal Law On Amendments to the Articles of Agreement of the International Monetary Fund, Approved by the Resolution of the International Monetary Fund’s Board of Governors of December 15, 2010 No.66-2.","http://eng.kremlin.ru/news/4244"
"1226","Law ratifying the agreement between Russia and the United States of America on simplifying visa procedures signed",2012-07-30,"Vladimir Putin signed Federal Law On Ratification of the Agreement between the Russian Federation and the United States of America on Simplifying Visa Procedures for Citizens of the Russian Federation and the United States of America.","http://eng.kremlin.ru/news/4235"
"1227","Laws ratifying agreements with the USA and France on adoption cooperation signed",2012-07-30,NA,"http://eng.kremlin.ru/news/4236"
"1228","Meeting with Foreign Minister of Japan Koichiro Gemba",2012-07-28,"In Sochi, Vladimir Putin met with Foreign Minister of Japan Koichiro Gemba. Issues discussed included the future development of bilateral trade and economic ties, in particular the implementation of joint projects in engineering and energy.","http://eng.kremlin.ru/news/4226"
"1229","Russian-Vietnamese talks",2012-07-27,"Vladimir Putin held talks with President of the Socialist Republic of Vietnam Truong Tan Sang in Sochi.","http://eng.kremlin.ru/news/4223"
"1230","Press statements following Russian-Vietnamese talks",2012-07-27,NA,"http://eng.kremlin.ru/transcripts/4225"
"1231","Vladimir Putin will visit the United Kingdom",2012-07-27,"President Putin will make a brief working visit to the United Kingdom on August 2, 2012.","http://eng.kremlin.ru/news/4221"
"1232","Vladimir Putin will meet with Foreign Minister of Japan Koichiro Gemba",2012-07-27,NA,"http://eng.kremlin.ru/news/4222"
"1233","Congratulations to Pranab Mukherjee on his election as President of India",2012-07-25,"Vladimir Putin congratulated Pranab Mukherjee on his election to the post of President of India and thanked his predecessor in office, Pratibha Patil, for her productive cooperation.","http://eng.kremlin.ru/news/4216"
"1234","Meeting with Chairman of the Eurasian Economic Commission’s Board Viktor Khristenko",2012-07-24,"Vladimir Putin met with Chairman of the Board of the Eurasian Economic Commission Viktor Khristenko.","http://eng.kremlin.ru/news/4215"
"1235","News conference following Russian-Italian talks",2012-07-23,NA,"http://eng.kremlin.ru/transcripts/4212"
"1236","Russian-Italian talks",2012-07-23,"Vladimir Putin held talks with Prime Minister of Italy Mario Monti in Sochi.","http://eng.kremlin.ru/news/4211"
"1237","Congratulations to President of Egypt Mohammed Morsi on the 60th anniversary of the July Revolution",2012-07-23,"Vladimir Putin sent his congratulations to President of the Arab Republic of Egypt Mohammed Morsi on the 60th anniversary of the 1952 July Revolution.","http://eng.kremlin.ru/news/4210"
"1238","Condolences to US President Barack Obama",2012-07-21,NA,"http://eng.kremlin.ru/news/4204"
"1239","Meeting with the permanent Security Council members",2012-07-20,"Vladimir Putin held a briefing session with permanent members of the Security Council.","http://eng.kremlin.ru/news/4203"
