"","X","title.info","date","briefs","story.link"
"1609",1609,"Meeting with Prime Minister of Australia Julia Gillard","2011-11-12","Dmitry Medvedev and Prime Minister of Australia Julia Gillard discussed ways to overcome the global economic crisis and cooperation in the Asia-Pacific Region.","http://eng.kremlin.ru/news/3066"
"1610",1610,"Meeting with President of Peru Ollanta Humala","2011-11-12","Dmitry Medvedev and Ollanta Humala discussed the main issues on the Russian-Peruvian agenda and cooperation in the international arena.","http://eng.kremlin.ru/news/3065"
"1611",1611,"Dmitry Medvedev, President of Belarus Alexander Lukashenko and President of Kazakhstan Nursultan Nazarbayev will meet on November 18 in Moscow","2011-11-11","The heads of the Customs Union member states will discuss current issues of integration in the Eurasian region pending entry into force on January 1, 2012, of a package of treaties forming a Common Economic Space between the three nations.","http://eng.kremlin.ru/news/3063"
"1612",1612,"Meeting with Federal Chancellor of Germany Angela Merkel","2011-11-08","Dmitry Medvedev and Angela Merkel discussed trade and economic cooperation and humanitarian ties.","http://eng.kremlin.ru/news/3047"
"1613",1613,"Meeting with German business community leaders","2011-11-08","In Berlin Dmitry Medvedev met with German business community leaders, including executives of Siemens, Deutsche Bank, E.ON, Ruhrgas, Metro, Knauf and others.","http://eng.kremlin.ru/news/3046"
"1614",1614,"Congratulations to President of the Republic of Nicaragua Daniel Ortega Saavedra","2011-11-08","Dmitry Medvedev congratulated Daniel Ortega Saavedra on his reelection as President of the Republic of Nicaragua.","http://eng.kremlin.ru/news/3043"
"1615",1615,"Launch ceremony for Nord Stream gas pipeline","2011-11-08","In Lubmin, Germany, Dmitry Medvedev and Federal Chancellor Angela Merkel took part in the launch ceremony for the first leg of the Nord Stream gas pipeline.","http://eng.kremlin.ru/news/3042"
"1616",1616,"Meeting with President of the Federal Republic of Germany Christian Wulff","2011-11-08","In Berlin, Dmitry Medvedev met with President of the Federal Republic of Germany Christian Wulff.","http://eng.kremlin.ru/news/3041"
"1617",1617,"Executive order on the Foreign Ministry’s coordinating role in conducting a uniform foreign policy","2011-11-08","Dmitry Medvedev signed Executive Order On  Coordinating Role of the Foreign Ministry of the Russian Federation in Conducting a Uniform Foreign Policy of the Russian Federation.","http://eng.kremlin.ru/acts/3045"
"1618",1618,"Visit to Germany. Opening of the Nord Stream gas pipeline","2011-11-07","During his official visit to Germany Dmitry Medvedev had a meeting with Federal President Christian Wulff, followed by a joint news conference. President Medvedev also took part in the ceremony inaugurating the launch of the first line of the Nord Stream gas pipeline, met with German business community leaders, and had a meeting with Federal Chancellor of Germany Angela Merkel.","http://eng.kremlin.ru/visits/3049"
"1619",1619,"Meeting with the G20 Trade Unions Summit delegates","2011-11-03","Dmitry Medvedev met with trade union leaders from the G20 countries.","http://eng.kremlin.ru/news/3024"
"1620",1620,"G20 Summit","2011-11-03","Dmitry Medvedev took part in a working meeting of the G20 heads of state and government.","http://eng.kremlin.ru/news/3022"
"1621",1621,"News briefing following G20 Summit","2011-11-03",NA,"http://eng.kremlin.ru/transcripts/3026"
"1622",1622,"G20 Business Summit","2011-11-03","Dmitry Medvedev's address at the G20 Business Summit","http://eng.kremlin.ru/news/3023"
"1623",1623,"Meeting with President of China Hu Jintao","2011-11-03","Dmitry Medvedev met with President of the People's Republic of China Hu Jintao on the sidelines of the G20 Summit.","http://eng.kremlin.ru/news/3021"
"1624",1624,"BRICS Summit","2011-11-03",NA,"http://eng.kremlin.ru/news/3020"
"1625",1625,"Dmitry Medvedev's message to the G20 leaders","2011-11-03","The President of Russia addressed the leaders of the G20 member states on a new concept concerning the use and protection of the results of intellectual activities on the Internet.","http://eng.kremlin.ru/news/3018"
"1626",1626,"Dmitry Medvedev will make an official visit to Germany","2011-11-03","The President will make an official visit to the Federal Republic of Germany on November 7-8. The visit will take place at the invitation of President of Federal Republic of Germany Christian Wulff.","http://eng.kremlin.ru/news/3019"
"1627",1627,"Russia-Republic of Korea Dialogue forum","2011-11-02","Dmitry Medvedev spoke at the closing plenary session of the Russia-Republic of Korea Dialogue forum in St Petersburg.","http://eng.kremlin.ru/news/3012"
"1628",1628,"Congratulations to Kyrgyzstan's President-elect Almazbek Atambayev","2011-11-01","Dmitry Medvedev congratulated President-elect of the Kyrgyz Republic Almazbek Atambayev on winning the presidential elections.","http://eng.kremlin.ru/news/3016"
"1629",1629,"Telephone conversation with King Abdullah II of Jordan","2011-10-31","Dmitry Medvedev had a telephone conversation with King Abdullah II of Jordan.","http://eng.kremlin.ru/news/3005"
"1630",1630,"Meeting with President of Switzerland Micheline Calmy-Rey","2011-10-30","Russia’s accession to the WTO was the main subject on the agenda at Dmitry Medvedev’s talks with President of Switzerland Micheline Calmy-Rey. The two presidents also discussed bilateral cooperation.","http://eng.kremlin.ru/news/3002"
"1631",1631,"Congratulations to President of Azerbaijan Ilham Aliyev","2011-10-28","Dmitry Medvedev congratulated President of Azerbaijan Ilham Aliyev on Azerbaijan’s election as a non-permanent member of the United Nations Security Council in 2012-2013.","http://eng.kremlin.ru/news/3006"
"1632",1632,"Congratulations to President of Turkmenistan Gurbanguly Berdimuhamedov","2011-10-27","Dmitry Medvedev congratulated President of the Republic of Turkmenistan Gurbanguly Berdimuhamedov on Independence Day, the country’s national holiday.","http://eng.kremlin.ru/news/2995"
"1633",1633,"Telephone conversations with presidents of Kazakhstan and Belarus","2011-10-26","Dmitry Medvedev had telephone conversations with President of Kazakhstan Nursultan Nazarbayev and President of Belarus Alexander Lukashenko.","http://eng.kremlin.ru/news/2992"
"1634",1634,"Greetings to International Scientific Forum Kazakhstan and the Eurasian Idea in the New World","2011-10-25","Dmitry Medvedev sent his greetings to the participants and guests of the International Scientific Forum Kazakhstan and the Eurasian Idea in the New World.","http://eng.kremlin.ru/news/2980"
"1635",1635,"Instruction on fulfilling Russia's obligations under existing intergovernmental agreements","2011-10-25","Dmitry Medvedev signed instructions on fulfilling Russia's obligations under existing intergovernmental agreements","http://eng.kremlin.ru/news/2981"
"1636",1636,"Telephone conversation with President of Turkey Abdullah Gul","2011-10-24","At Russia’s initiative, Dmitry Medvedev had a telephone conversation with President of Turkey Abdullah Gul.","http://eng.kremlin.ru/news/2974"
